Monthly-salary Marital-status Number-of-kids expected-tax-amount
6500000 married 1 750000
25000000 single 0 31900000
4000000 single 0 0
4000000 single 4 0
4000000 married 0 0
4000000 married 1 0
4000000 married 2 0
4000000 married 5 0
4800000 single 0 180000
4800000 married 0 0
4800000 married 1 0
4800000 married 2 0
4800000 married 8 0
13000000 single 0 10300000
13000000 married 0 9625000
13000000 married 1 8950000
13000000 married 2 8275000
13000000 married 3 7600000
26000000 single 0 34500000
26000000 married 0 33375000
26000000 married 1 32350000
26000000 married 2 31675000
26000000 married 3 31000000
50000000 single 0 108800000
50000000 married 0 107450000
50000000 married 1 106100000
50000000 married 2 104750000
50000000 married 3 103400000
